cascade_id,observation_level,early_event_count,early_size,early_comm_count,early_duration,early_growth_rate,early_max_out_degree,early_mean_out_degree,early_max_betweenness,early_mean_betweenness,early_max_pagerank,early_mean_pagerank,target_final_size,early_mean_link_score,early_max_link_score,early_preferential_attachment_max,predicted_final_size,absolute_error,relative_error,residual
2,0.1,87,128,13,1.0,128.0,0.0980187695516162,0.0131321689259644,0.0464749058416465,0.0058055451133012,0.0056186378747126,0.001338585878655,611,0.0168406475610136,0.108695652173913,1760.0,633.182630474744,22.182630474743974,0.03630545085882811,22.182630474743974
2,0.2,173,218,13,1.0,218.0,0.0980187695516162,0.0107767073882388,0.0464749058416465,0.0046562850197304,0.0056186378747126,0.0013328706062616,611,0.0743052407007832,1.0,828.0,630.0385246782527,19.038524678252656,0.031159614858023987,19.038524678252656
2,0.3,259,299,13,1.0,299.0,0.0980187695516162,0.0096812105698173,0.0464749058416465,0.0041609575881859,0.0056186378747126,0.0012862473466424,611,0.0128787878787878,0.1666666666666666,200.0,623.6547725819204,12.654772581920383,0.020711575420491627,12.654772581920383
2,0.5,431,430,13,1.5,286.6666666666667,0.0980187695516162,0.0086936489075344,0.0570262908498661,0.003854156264935,0.0056186378747126,0.001278302578875,611,0.0180546722780765,0.1538461538461538,432.0,623.5980683047449,12.598068304744857,0.020618769729533318,12.598068304744857
5,0.1,83,117,13,1.0,117.0,0.0980187695516162,0.0118446030854789,0.0492079830055308,0.0050848892427916,0.0056186378747126,0.0012816527270124,620,0.0038757469881818,0.0392156862745098,5900.0,621.9058183896303,1.9058183896303262,0.00307390062843601,1.9058183896303262
5,0.2,166,217,13,1.0,217.0,0.0980187695516162,0.0103602542971508,0.0492079830055308,0.0045729095651646,0.0056186378747126,0.001324501757247,620,0.008856572159393,0.0666666666666666,700.0,621.0501945781806,1.0501945781805944,0.0016938622228719264,1.0501945781805944
5,0.3,249,290,13,1.0,290.0,0.0980187695516162,0.009172629535076,0.0492079830055308,0.0039254844849329,0.0056186378747126,0.0012436725382195,620,0.0107258064516129,0.15,608.0,618.5178713559826,1.4821286440173935,0.002390530070995796,-1.4821286440173935
5,0.5,414,432,13,1.5,288.0,0.0980187695516162,0.0085568493415208,0.0570262908498661,0.0038191008751712,0.0058095370925524,0.0012816287704614,620,0.009284188034188,0.125,520.0,620.4074640919386,0.40746409193855015,0.0006572001482879841,0.40746409193855015
14,0.1,82,121,13,1.0,121.0,0.0980187695516162,0.0115909306353897,0.0492079830055308,0.0050987197318738,0.0045513414488271,0.0013590397443475,622,0.0108282034527821,0.0833333333333333,3500.0,620.470124428502,1.5298755714979961,0.0024596070281318267,-1.5298755714979961
14,0.2,164,218,13,1.0,218.0,0.0980187695516162,0.0105901598568845,0.0570262908498661,0.0047343814836282,0.0045513414488271,0.0012938859506531,622,0.0141196444702542,0.074074074074074,341.0,619.8940581184484,2.1059418815516437,0.0033857586520122888,-2.1059418815516437
14,0.3,246,295,13,1.0,295.0,0.0980187695516162,0.0098301549990278,0.0570262908498661,0.0044284232197497,0.0052421649220672,0.0012991287063764,622,0.0054632867132867,0.0769230769230769,500.0,618.0232929972038,3.976707002796161,0.006393419618643346,-3.976707002796161
14,0.5,410,416,13,1.75,237.7142857142857,0.0980187695516162,0.0088057471725354,0.0570262908498661,0.0039045162713723,0.0056186378747126,0.0012471384330693,622,0.0167857142857142,0.2857142857142857,221.0,616.3549884778369,5.645011522163145,0.009075581225342676,-5.645011522163145
15,0.1,82,132,13,1.0,132.0,0.0761209593326381,0.0111463961828924,0.0570262908498661,0.0046212340446679,0.0037580805554219,0.0012856525221792,624,0.0354441776710684,0.5555555555555556,5226.0,625.421434063131,1.4214340631309597,0.002277939203735512,1.4214340631309597
15,0.2,164,224,13,1.0,224.0,0.0980187695516162,0.0098782213615372,0.0570262908498661,0.0042971636589792,0.0052421649220672,0.0012897689543613,624,0.0127762923351158,0.0833333333333333,1280.0,621.7589727918229,2.2410272081771154,0.0035913897566940954,-2.2410272081771154
15,0.3,246,304,13,1.0,304.0,0.0980187695516162,0.0095219801328137,0.0570262908498661,0.0040895664015029,0.0056186378747126,0.0012615298381664,624,0.0094526070150921,0.1052631578947368,1003.0,620.272298545466,3.7277014545339853,0.0059738805361121555,-3.7277014545339853
15,0.5,409,428,13,1.5,285.3333333333333,0.0980187695516162,0.0081982789705007,0.0570262908498661,0.0035048302200932,0.0056186378747126,0.0011978719570315,624,0.0119444444444444,0.2222222222222222,910.0,626.9012844497871,2.901284449787113,0.0046494943105562705,2.901284449787113
